,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,5.0,1.0,16.0,0.5,1.0,7.79,0.0,5.44
1.0,5.0,1.0,16.0,0.5,2.0,9.26,0.0,5.05
2.0,5.0,1.0,16.0,0.5,1.0,12.5,0.0,3.29
3.0,5.0,1.0,16.0,0.5,1.0,11.71,0.0,3.46
4.0,5.0,1.0,16.0,0.5,1.0,5.26,0.0,7.63
5.0,5.0,1.0,16.0,0.5,2.0,7.95,0.0,5.24
6.0,5.0,1.0,16.0,0.5,1.5,13.9,0.0,3.15
7.0,5.0,1.0,16.0,0.5,2.0,3.9,0.0,7.95
8.0,5.0,1.0,16.0,0.5,2.0,14.02,0.0,3.49
9.0,5.0,1.0,16.0,0.5,1.0,8.31,0.0,6.55
10.0,5.0,1.0,16.0,0.5,1.0,0.0,0.0,9.98
11.0,5.0,1.0,16.0,0.5,1.5,7.79,0.0,5.44
12.0,5.0,1.0,16.0,0.5,1.5,6.8,0.0,6.92
13.0,5.0,1.0,16.0,0.5,1.0,19.22,0.0,0.61
14.0,5.0,1.0,16.0,0.5,2.0,3.9,0.0,7.95
15.0,5.0,1.0,16.0,0.5,1.5,7.87,0.0,6.05
16.0,15.0,2.0,5.0,0.5,2.0,28.51,0.0,15.52
17.0,15.0,2.0,5.0,0.5,2.0,28.07,0.0,15.02
18.0,15.0,2.0,5.0,0.5,1.5,28.51,0.0,15.52
19.0,15.0,2.0,5.0,0.5,1.0,31.63,0.0,14.55
20.0,15.0,2.0,5.0,0.5,1.5,33.09,0.0,14.15
21.0,5.0,1.0,5.0,0.5,1.5,7.13,0.0,6.24
22.0,5.0,1.0,5.0,0.5,1.5,18.56,0.0,1.28
23.0,5.0,1.0,5.0,0.5,2.0,7.87,0.0,6.05
24.0,5.0,1.0,5.0,0.5,2.0,9.26,0.0,5.05
25.0,5.0,1.0,5.0,0.5,1.5,7.13,0.0,6.24
26.0,25.0,3.0,16.0,0.5,1.5,54.02,0.0,23.49
27.0,25.0,3.0,16.0,0.5,1.0,46.4,0.0,27.2
28.0,25.0,3.0,16.0,0.5,1.0,52.21,0.0,24.28
29.0,25.0,3.0,16.0,0.5,1.0,51.03,0.0,23.97
30.0,25.0,3.0,16.0,0.5,1.0,44.0,0.0,28.0
31.0,25.0,3.0,16.0,0.5,1.5,46.61,0.0,25.98
32.0,25.0,3.0,16.0,0.5,1.0,50.57,0.0,24.3
33.0,25.0,3.0,16.0,0.5,1.5,51.79,0.0,23.22
34.0,25.0,3.0,16.0,0.5,2.0,46.4,0.0,27.2
35.0,25.0,3.0,16.0,0.5,1.0,50.57,0.0,24.3
36.0,25.0,3.0,16.0,0.5,2.0,50.8,0.0,24.7
37.0,25.0,3.0,16.0,0.5,1.0,53.82,0.0,23.11
38.0,25.0,3.0,16.0,0.5,1.0,44.0,0.0,28.0
39.0,25.0,3.0,16.0,0.5,1.5,51.24,0.0,25.2
40.0,25.0,3.0,16.0,0.5,1.0,53.56,0.0,23.82
41.0,25.0,3.0,16.0,0.5,1.5,48.27,0.0,25.4
42.0,15.0,2.0,16.0,0.5,1.5,33.04,0.0,13.56
43.0,15.0,2.0,16.0,0.5,2.0,35.36,0.0,12.68
44.0,15.0,2.0,16.0,0.5,1.0,26.2,0.0,16.62
45.0,15.0,2.0,16.0,0.5,1.0,32.98,0.0,12.69
46.0,15.0,2.0,16.0,0.5,1.0,26.6,0.0,17.3
47.0,15.0,2.0,16.0,0.5,2.0,22.32,0.0,18.16
48.0,15.0,2.0,16.0,0.5,2.0,19.8,0.0,19.9
49.0,15.0,2.0,16.0,0.5,1.0,29.5,0.0,14.61
50.0,15.0,2.0,16.0,0.5,1.5,28.51,0.0,15.52
51.0,15.0,2.0,16.0,0.5,1.5,37.74,0.0,0.0
52.0,15.0,2.0,16.0,0.5,1.5,36.42,0.0,12.21
53.0,15.0,2.0,16.0,0.5,1.0,30.64,0.0,14.62
54.0,15.0,2.0,16.0,0.5,2.0,29.14,0.0,15.27
55.0,15.0,2.0,16.0,0.5,1.0,38.64,0.0,10.32
56.0,15.0,2.0,16.0,0.5,1.5,37.74,0.0,11.87
57.0,15.0,2.0,16.0,0.5,1.5,34.04,0.0,13.78
58.0,25.0,3.0,5.0,0.5,1.0,47.83,0.0,26.31
59.0,25.0,3.0,5.0,0.5,1.0,46.56,0.0,26.52
60.0,25.0,3.0,5.0,0.5,1.5,54.02,0.0,23.49
61.0,25.0,3.0,5.0,0.5,1.5,45.02,0.0,27.51
62.0,25.0,3.0,5.0,0.5,1.5,42.18,0.0,28.09
63.0,5.0,1.0,16.0,0.5,1.5,14.02,0.0,3.49
64.0,5.0,1.0,16.0,0.5,1.0,7.87,0.0,6.05
65.0,5.0,1.0,16.0,0.5,1.0,20.0,0.0,0.0
66.0,5.0,1.0,16.0,0.5,1.0,8.97,0.0,5.47
67.0,5.0,1.0,16.0,0.5,1.5,14.02,0.0,3.49
68.0,5.0,1.0,16.0,0.5,2.0,0.0,0.0,9.98
69.0,5.0,1.0,16.0,0.5,1.5,10.75,0.0,3.83
70.0,5.0,1.0,16.0,0.5,1.0,13.9,0.0,3.15
71.0,5.0,1.0,16.0,0.5,2.0,11.95,0.0,3.3
72.0,5.0,1.0,16.0,0.5,1.0,11.59,0.0,4.81
73.0,5.0,1.0,16.0,0.5,1.0,0.12,0.0,9.06
74.0,5.0,1.0,16.0,0.5,1.5,9.9,0.0,4.81
75.0,5.0,1.0,16.0,0.5,1.0,10.29,0.0,3.88
76.0,5.0,1.0,16.0,0.5,1.5,8.04,0.0,6.98
77.0,5.0,1.0,16.0,0.5,2.0,3.9,0.0,7.95
78.0,5.0,1.0,16.0,0.5,1.5,7.87,0.0,6.05
79.0,15.0,2.0,5.0,0.5,1.0,25.16,0.0,17.58
80.0,15.0,2.0,5.0,0.5,2.0,28.17,0.0,15.91
81.0,15.0,2.0,5.0,0.5,1.0,30.42,0.0,15.63
82.0,15.0,2.0,5.0,0.5,1.0,31.63,0.0,14.55
83.0,15.0,2.0,5.0,0.5,2.0,26.8,0.0,17.2
84.0,5.0,1.0,5.0,0.5,1.5,20.0,0.0,0.0
85.0,5.0,1.0,5.0,0.5,1.0,8.66,0.0,5.03
86.0,5.0,1.0,5.0,0.5,1.0,0.12,0.0,9.06
87.0,5.0,1.0,5.0,0.5,1.5,14.02,0.0,3.49
88.0,5.0,1.0,5.0,0.5,2.0,7.95,0.0,5.24
89.0,25.0,3.0,16.0,0.5,2.0,49.9,0.0,24.81
90.0,25.0,3.0,16.0,0.5,1.0,40.44,0.0,30.22
91.0,25.0,3.0,16.0,0.5,2.0,46.4,0.0,27.2
92.0,25.0,3.0,16.0,0.5,1.0,51.24,0.0,25.2
93.0,25.0,3.0,16.0,0.5,1.0,46.74,0.0,27.17
94.0,25.0,3.0,16.0,0.5,1.0,41.6,0.0,29.8
95.0,25.0,3.0,16.0,0.5,1.0,47.07,0.0,25.65
96.0,25.0,3.0,16.0,0.5,1.5,50.8,0.0,24.7
97.0,25.0,3.0,16.0,0.5,1.0,49.05,0.0,25.51
98.0,25.0,3.0,16.0,0.5,1.0,55.12,0.0,22.56
99.0,25.0,3.0,16.0,0.5,2.0,54.02,0.0,23.49
100.0,25.0,3.0,16.0,0.5,1.5,46.4,0.0,27.2
101.0,25.0,3.0,16.0,0.5,1.0,53.28,0.0,22.64
102.0,25.0,3.0,16.0,0.5,1.0,49.9,0.0,24.81
103.0,25.0,3.0,16.0,0.5,2.0,50.57,0.0,24.3
