,operation1,sum1,operation2,sign,sum2,totalSum,showCorrectAns,suggestedAnswer,mathResponse,mathResponseCorrect,solveMathRT,trueFalseRT,setSize,setNumber,trialPerSet,lettersShown,lettersRecall,correctCount,percentCorrectMath,totalMathErrorsInSet
1,(4÷1),4,3,-,-3,1,0,11,False,1,1.936242164010764,0.8866528290091082,6,0,0,F,,,,
2,(1÷1),1,5,+,5,6,0,8,False,1,0.9366750070039416,1.119895332987653,6,0,1,Y,,,,
3,(5x3),15,9,-,-9,6,0,23,False,1,1.053426826998475,1.3861936940083979,6,0,2,K,,,,
4,(3÷1),3,2,-,-2,1,0,3,True,0,1.553379254997708,0.8867685190052725,6,0,3,R,,,,
5,(2x5),10,9,-,-9,1,0,5,False,1,2.586220918004983,0.9697404689941322,6,0,4,N,,,,
6,(3x3),9,1,-,-1,8,1,8,True,1,0.9034389429871226,1.0700345160003053,6,0,5,L,"['F', 'Y', 'K', 'R', 'N', 'L']",6,83.0,1.0
7,(1x4),4,2,-,-2,2,1,2,True,1,2.502725446000113,1.3868360409978777,7,1,0,P,,,,
8,(1x7),7,5,-,-5,2,0,8,False,1,0.9200262429949362,1.2532269540097332,7,1,1,F,,,,
9,(2x6),12,6,+,6,18,0,0,False,1,1.286653742994531,2.48620269598905,7,1,2,K,,,,
10,(2x4),8,1,-,-1,7,0,30,False,1,1.4533380469947588,1.4697581850050483,7,1,3,S,,,,
11,(3x2),6,9,+,9,15,1,15,True,1,1.5865046640101355,1.3531413149903528,7,1,4,H,,,,
12,(7÷1),7,1,+,1,8,1,8,True,1,1.3199686970037874,0.7202104360039812,7,1,5,L,,,,
13,(3x5),15,2,+,2,17,1,17,True,1,1.053446810998139,0.7036572969955159,7,1,6,Q,"['*', 'F', 'K', 'S', 'H', 'L', 'Q']",6,92.0,0.0
14,(2÷1),2,1,-,-1,1,0,6,False,1,1.336129969000467,0.936607808995177,3,2,0,Y,,,,
15,(5÷5),1,2,+,2,3,1,3,True,1,2.019893824006431,0.8201016539969714,3,2,1,H,,,,
16,(1x8),8,7,+,7,15,0,4,False,1,1.803005834997748,0.8534392769943224,3,2,2,K,"['Y', 'H', 'K']",3,94.0,0.0
17,(4÷2),2,0,-,0,2,0,9,False,1,1.0034028130030492,0.8199087679968216,5,3,0,L,,,,
18,(8÷2),4,1,-,-1,3,0,5,True,0,1.003551626999979,0.8033387540053809,5,3,1,R,,,,
19,(8÷8),1,1,+,1,2,0,3,False,1,1.2365474849939346,0.9365759450010955,5,3,2,T,,,,
20,(1x3),3,6,+,6,9,1,9,True,1,1.4198176530044293,0.8368953430035617,5,3,3,N,,,,
21,(8÷4),2,1,+,1,3,0,0,False,1,1.019938978002756,0.9534539970045444,5,3,4,J,"['L', 'R', 'T', 'N', 'J']",5,90.0,1.0
22,(2÷2),1,1,+,1,2,0,0,False,1,1.2699494510015938,1.6032066570041934,4,4,0,J,,,,
23,(6÷1),6,3,+,3,9,0,0,False,1,0.9366940809995867,1.0036062250001123,4,4,1,Y,,,,
24,(3÷3),1,2,+,2,3,1,3,True,1,0.9532582039973931,1.7196960380097153,4,4,2,T,,,,
25,(2x3),6,5,-,-5,1,1,1,True,1,1.4033202519931365,0.8201241269998718,4,4,3,Q,"['J', 'Y', 'T', 'Q']",4,92.0,0.0
