,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,25.0,3.0,16.0,0.5,1.0,57.08,0.0,20.54
1.0,25.0,3.0,16.0,0.5,1.5,48.09,0.0,26.72
2.0,25.0,3.0,16.0,0.5,2.0,45.32,0.0,27.66
3.0,25.0,3.0,16.0,0.5,1.0,50.28,0.0,25.28
4.0,25.0,3.0,16.0,0.5,1.0,51.08,0.0,25.4
5.0,25.0,3.0,16.0,0.5,2.0,52.33,0.0,23.77
6.0,25.0,3.0,16.0,0.5,1.0,52.78,0.0,23.43
7.0,25.0,3.0,16.0,0.5,1.0,48.29,0.0,25.97
8.0,25.0,3.0,16.0,0.5,1.5,52.33,0.0,23.77
9.0,25.0,3.0,16.0,0.5,2.0,47.97,0.0,26.1
10.0,25.0,3.0,16.0,0.5,2.0,46.66,0.0,26.57
11.0,25.0,3.0,16.0,0.5,1.0,52.67,0.0,24.51
12.0,25.0,3.0,16.0,0.5,1.5,43.66,0.0,27.83
13.0,25.0,3.0,16.0,0.5,1.5,50.28,0.0,25.28
14.0,25.0,3.0,16.0,0.5,1.0,51.08,0.0,25.4
15.0,25.0,3.0,16.0,0.5,1.5,52.78,0.0,23.43
16.0,5.0,1.0,5.0,0.5,1.5,0.64,0.0,10.32
17.0,5.0,1.0,5.0,0.5,1.0,20.62,0.0,0.31
18.0,5.0,1.0,5.0,0.5,2.0,6.86,0.0,7.23
19.0,5.0,1.0,5.0,0.5,1.0,1.68,0.0,8.84
20.0,5.0,1.0,5.0,0.5,1.5,6.04,0.0,6.54
21.0,25.0,3.0,5.0,0.5,2.0,46.48,0.0,27.04
22.0,25.0,3.0,5.0,0.5,1.0,52.78,0.0,23.43
23.0,25.0,3.0,5.0,0.5,1.0,41.4,0.0,28.7
24.0,25.0,3.0,5.0,0.5,1.0,56.0,0.0,21.0
25.0,25.0,3.0,5.0,0.5,1.0,40.62,0.0,29.31
26.0,15.0,2.0,16.0,0.5,1.5,24.52,0.0,17.26
27.0,15.0,2.0,16.0,0.5,1.0,21.4,0.0,19.7
28.0,15.0,2.0,16.0,0.5,1.0,30.71,0.0,14.09
29.0,15.0,2.0,16.0,0.5,2.0,22.08,0.0,18.04
30.0,15.0,2.0,16.0,0.5,2.0,32.35,0.0,14.06
31.0,15.0,2.0,16.0,0.5,2.0,21.0,0.0,20.5
32.0,15.0,2.0,16.0,0.5,1.5,33.35,0.0,14.28
33.0,15.0,2.0,16.0,0.5,1.0,25.08,0.0,16.54
34.0,15.0,2.0,16.0,0.5,1.0,25.08,0.0,16.54
35.0,15.0,2.0,16.0,0.5,1.0,33.36,0.0,13.44
36.0,15.0,2.0,16.0,0.5,2.0,28.27,0.0,16.81
37.0,15.0,2.0,16.0,0.5,1.5,26.22,0.0,16.07
38.0,15.0,2.0,16.0,0.5,2.0,31.95,0.0,14.99
39.0,15.0,2.0,16.0,0.5,1.5,31.95,0.0,14.99
40.0,15.0,2.0,16.0,0.5,1.0,40.38,0.0,10.19
41.0,15.0,2.0,16.0,0.5,1.0,31.33,0.0,13.84
42.0,5.0,1.0,16.0,0.5,1.0,6.16,0.0,6.04
43.0,5.0,1.0,16.0,0.5,1.0,12.56,0.0,2.76
44.0,5.0,1.0,16.0,0.5,1.5,14.14,0.0,2.07
45.0,5.0,1.0,16.0,0.5,1.0,12.29,0.0,3.47
46.0,5.0,1.0,16.0,0.5,2.0,5.68,0.0,7.84
47.0,5.0,1.0,16.0,0.5,1.0,12.56,0.0,2.76
48.0,5.0,1.0,16.0,0.5,1.0,8.01,0.0,5.83
49.0,5.0,1.0,16.0,0.5,1.0,10.43,0.0,3.95
50.0,5.0,1.0,16.0,0.5,1.5,10.12,0.0,5.2
51.0,5.0,1.0,16.0,0.5,1.0,6.86,0.0,7.23
52.0,5.0,1.0,16.0,0.5,1.5,8.01,0.0,5.83
53.0,5.0,1.0,16.0,0.5,1.0,18.2,0.0,0.1
54.0,5.0,1.0,16.0,0.5,1.5,10.12,0.0,5.2
55.0,5.0,1.0,16.0,0.5,1.5,11.59,0.0,4.81
56.0,5.0,1.0,16.0,0.5,2.0,12.73,0.0,4.54
57.0,5.0,1.0,16.0,0.5,1.0,20.62,0.0,0.31
58.0,15.0,2.0,5.0,0.5,2.0,26.22,0.0,16.07
59.0,15.0,2.0,5.0,0.5,1.0,37.88,0.0,11.94
60.0,15.0,2.0,5.0,0.5,2.0,24.52,0.0,17.26
61.0,15.0,2.0,5.0,0.5,1.0,31.95,0.0,14.99
62.0,15.0,2.0,5.0,0.5,1.5,34.38,0.0,12.19
63.0,25.0,3.0,16.0,0.5,1.0,40.32,0.0,30.16
