,imageName,imageNumber,symmetrical,symResponse,symResponseBinom,symResponseCorrect,solveSymRT,symYesNoRT,setSize,setNumber,trialPerSet,redSquarePos,redSquareNumber,squareRecall,squareCorrectCount,percentCorrectSym,totalSymErrorsInSet
1,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm10.bmp,10,1.0,Yes,1,1,1.4531887149933027,0.9701187199971173,4,0,0,"[184.32, -61.44]","[11, 3, 13, 10]",,,,
2,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm42.bmp,42,0.0,No,0,1,0.8034012659918517,1.1366419769910863,4,0,1,"[184.32, 184.32000000000002]","[11, 3, 13, 10]",,,,
3,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm17.bmp,17,1.0,No,0,0,1.0533548679959495,1.03248976598843,4,0,2,"[-61.44, -184.32000000000002]","[11, 3, 13, 10]",,,,
4,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm21.bmp,21,1.0,Yes,1,1,0.9997363629954634,0.7036312100099167,4,0,3,"[61.44, -61.44]","[11, 3, 13, 10]","['11', '7', '13', '10']",3,75.0,1.0
5,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm44.bmp,44,0.0,No,0,1,1.0036481160059338,1.3034060840000166,3,1,0,"[-61.44, -61.44]","[9, 10, 1]",,,,
6,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm31.bmp,31,0.0,,,0,,,3,1,1,"[61.44, -61.44]","[9, 10, 1]",,,,
7,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm46.bmp,46,0.0,No,0,1,1.1368005330004962,1.5533309500024188,3,1,2,"[-61.44, 184.32000000000002]","[9, 10, 1]","['7', '10', '1']",2,71.0,1.0
8,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm38.bmp,38,0.0,No,0,1,0.9868752089969348,0.8862963330029743,2,2,0,"[-61.44, -184.32000000000002]","[13, 12]",,,,
9,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm47.bmp,47,0.0,No,0,1,1.036862351000309,1.2700731509976322,2,2,1,"[-184.32, -184.32000000000002]","[13, 12]","['13', '12']",2,78.0,0.0
10,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm35.bmp,35,0.0,No,0,1,1.4030225379974581,0.8866762520046905,5,3,0,"[184.32, -61.44]","[11, 2, 5, 6, 13]",,,,
11,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm43.bmp,43,0.0,No,0,1,0.8702760489977663,1.4365548209898407,5,3,1,"[61.44, 184.32000000000002]","[11, 2, 5, 6, 13]",,,,
12,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm18.bmp,18,1.0,Yes,1,1,1.0700776559970109,0.7034343749983236,5,3,2,"[-61.44, 61.44]","[11, 2, 5, 6, 13]",,,,
13,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm23.bmp,23,1.0,Yes,1,1,1.386695804001647,1.0869233809935395,5,3,3,"[61.44, 61.44]","[11, 2, 5, 6, 13]",,,,
14,/Users/shlab/Documents/GitHub/rcs/task/symspan/symBitmaps/symm40.bmp,40,0.0,No,0,1,1.2541041950025829,0.8702263909945032,5,3,4,"[-61.44, -184.32000000000002]","[11, 2, 5, 6, 13]","['11', '2', '5', '6', '13']",5,86.0,0.0
