condCode,subID,cond1,cond2,cond1color,cond2color
1,001,0,0,0,1
1,002,0,0,1,0
3,003,1,0,0,1
3,004,1,0,0,1
2,005,0,1,1,0
1,006,0,0,0,1
4,007,1,1,0,1
4,008,1,1,0,1
2,009,0,1,0,1
2,010,0,1,1,0
4,011,1,1,1,0
3,012,1,0,1,0
3,013,1,0,0,1
1,014,0,0,1,0
3,015,1,0,1,0
3,016,1,0,1,0
4,017,1,1,1,0
3,018,1,0,1,0
4,019,1,1,1,0
2,020,0,1,0,1
1,021,0,0,0,1
2,022,0,1,0,1
4,023,1,1,0,1
3,024,1,0,1,0
4,025,1,1,1,0
2,026,0,1,1,0
4,027,1,1,0,1
3,028,1,0,1,0
4,029,1,1,1,0
2,030,0,1,0,1
4,031,1,1,1,0
3,032,1,0,1,0
1,033,0,0,0,1
4,034,1,1,0,1
1,035,0,0,0,1
3,036,1,0,1,0
1,037,0,0,1,0
1,038,0,0,1,0
1,039,0,0,1,0
1,040,0,0,1,0
1,041,0,0,0,1
2,042,0,1,0,1
1,043,0,0,0,1
4,044,1,1,1,0
4,045,1,1,0,1
2,046,0,1,1,0
2,047,0,1,1,0
1,048,0,0,0,1
2,049,0,1,0,1
1,050,0,0,1,0
2,051,0,1,1,0
1,052,0,0,1,0
2,053,0,1,0,1
4,054,1,1,0,1
1,055,0,0,1,0
3,056,1,0,0,1
4,057,1,1,1,0
1,058,0,0,1,0
2,059,0,1,1,0
2,060,0,1,0,1
4,061,1,1,1,0
3,062,1,0,1,0
4,063,1,1,1,0
4,064,1,1,0,1
1,065,0,0,1,0
4,066,1,1,1,0
4,067,1,1,0,1
3,068,1,0,1,0
1,069,0,0,0,1
4,070,1,1,0,1
4,071,1,1,0,1
2,072,0,1,0,1
3,073,1,0,1,0
1,074,0,0,0,1
2,075,0,1,1,0
3,076,1,0,1,0
4,077,1,1,0,1
3,078,1,0,1,0
4,079,1,1,1,0
4,080,1,1,1,0
2,081,0,1,0,1
3,082,1,0,1,0
1,083,0,0,0,1
3,084,1,0,0,1
1,085,0,0,1,0
1,086,0,0,0,1
1,087,0,0,0,1
2,088,0,1,0,1
2,089,0,1,0,1
2,090,0,1,1,0
3,091,1,0,1,0
1,092,0,0,0,1
2,093,0,1,1,0
2,094,0,1,0,1
3,095,1,0,1,0
2,096,0,1,0,1
4,097,1,1,0,1
3,098,1,0,0,1
4,099,1,1,1,0
2,100,0,1,0,1
1,101,0,0,0,1
4,102,1,1,0,1
2,103,0,1,0,1
2,104,0,1,0,1
3,105,1,0,0,1
2,106,0,1,0,1
3,107,1,0,1,0
4,108,1,1,1,0
1,109,0,0,0,1
3,110,1,0,1,0
3,111,1,0,1,0
3,112,1,0,1,0
2,113,0,1,0,1
3,114,1,0,0,1
4,115,1,1,0,1
3,116,1,0,0,1
1,117,0,0,1,0
2,118,0,1,0,1
3,119,1,0,1,0
1,120,0,0,1,0
