,operation1,sum1,operation2,sign,sum2,totalSum,showCorrectAns,suggestedAnswer,mathResponse,mathResponseCorrect,solveMathRT,trueFalseRT,setSize,setNumber,trialPerSet,lettersShown,lettersRecall,correctCount,percentCorrectMath,totalMathErrorsInSet
1,(1x8),8,6,+,6,14,1,14,True,1,1.3036835701204836,0.6867629569023848,4,0,0,P,,,,
2,(1x4),4,6,+,6,10,1,10,True,1,1.2699568879324943,0.8878261120989919,4,0,1,J,,,,
3,(4÷2),2,1,-,-1,1,0,3,False,1,1.7696821740828454,1.0366827989928424,4,0,2,K,,,,
4,(7÷7),1,5,+,5,6,1,6,True,1,1.4037217979785055,0.6366197869647294,4,0,3,R,"['P', 'J', 'K', 'R']",4,100.0,0.0
5,(5x3),15,7,+,7,22,1,22,True,1,1.2698190258815885,0.6376902109477669,3,1,0,Y,,,,
6,(2x7),14,9,-,-9,5,0,16,False,1,2.0201494321227074,1.654510262887925,3,1,1,P,,,,
7,(9÷9),1,7,+,7,8,0,0,False,1,1.2698174568358809,1.4211048120632768,3,1,2,F,"['Y', 'P']",2,100.0,0.0
8,(7x2),14,7,-,-7,7,0,1,False,1,2.021150075830519,0.8867482438217849,6,2,0,S,,,,
9,(8÷4),2,4,+,4,6,0,21,False,1,3.1378985980991274,1.3366152269300073,6,2,1,Q,,,,
10,(6÷3),2,8,+,8,10,0,0,False,1,1.670028573833406,0.9533373990561813,6,2,2,K,,,,
11,(1x3),3,2,-,-2,1,0,9,False,1,1.054155174875632,0.7033660360611975,6,2,3,T,,,,
12,(1x2),2,0,-,0,2,0,10,False,1,1.6210531981196254,0.7199034879449755,6,2,4,L,,,,
13,(8÷2),4,3,-,-3,1,0,3,False,1,1.119766250019893,1.4710271339863539,6,2,5,F,"['P', 'Q', 'K', 'T', 'L', 'F']",5,100.0,0.0
14,(6÷6),1,8,+,8,9,0,27,False,1,2.1532799501437694,0.8366363300010562,5,3,0,N,,,,
15,(8÷1),8,4,-,-4,4,1,4,True,1,1.5535383538808674,1.4533902979455888,5,3,1,K,,,,
16,(6x2),12,4,-,-4,8,0,15,False,1,1.3034448400139809,0.7202318620402366,5,3,2,J,,,,
17,(5÷5),1,0,-,0,1,1,1,True,1,0.8698353681247681,0.5866909041069448,5,3,3,T,,,,
18,(2x2),4,1,-,-1,3,1,3,True,1,0.7196390801109374,1.2532664239406586,5,3,4,F,"['N', 'K', 'J', 'T', 'F']",5,100.0,0.0
19,(3x2),6,4,-,-4,2,1,2,True,1,1.4034036069642752,0.6540991568472236,7,4,0,S,,,,
20,(3x4),12,9,-,-9,3,1,3,True,1,1.8210746529512107,0.7368168500252068,7,4,1,Q,,,,
21,(4÷1),4,7,+,7,11,0,13,False,1,1.6865281520877033,0.8699519119691104,7,4,2,R,,,,
22,(4x2),8,2,+,2,10,0,9,False,1,2.1700409119948745,1.1877550277858973,7,4,3,T,,,,
23,(3x5),15,3,+,3,18,1,18,True,1,1.0032975950744003,0.6032600209582597,7,4,4,L,,,,
24,(2x4),8,5,+,5,13,0,23,False,1,3.1534828478470445,0.8375294159632176,7,4,5,N,,,,
25,(4÷4),1,2,+,2,3,1,3,True,1,3.271519456990063,0.7534419069997966,7,4,6,K,"['S', 'P', 'R', '*', 'L', 'N', 'K']",5,100.0,0.0
