,operation,response,responseCorrect,solveMathRT,suggestedAnswer,suggestAnswerCorrect,trueFalseRT,trial,maxMathDisp
1,(1x2) + 1 = ?,True,1,2.3046633421909064,3,True,0.6866352250799537,0,2.271761304910135
2,(1÷1) - 1 = ?,True,0,0.5197244039736688,2,False,1.1700914800167084,1,2.271761304910135
3,(7x3) - 3 = ?,True,1,0.9533273640554398,18,True,0.9366407520137727,2,2.271761304910135
4,(4x3) + 4 = ?,True,1,0.5365366749465466,16,True,1.2032486111856997,3,2.271761304910135
5,(3÷3) + 2 = ?,False,1,1.2199121199082583,1,False,0.4876298999879509,4,2.271761304910135
6,(2x6) - 4  = ?,False,1,1.2863990429323167,6,False,1.270064510172233,5,2.271761304910135
7,(8x9) - 8 = ?,True,1,1.4200536848511547,64,True,0.8869056140538305,6,2.271761304910135
8,(4x5) - 5 = ?,False,1,1.0201703708153218,11,False,0.9534562590997666,7,2.271761304910135
9,(4x2) + 6 = ?,True,1,0.8532977649010718,14,True,0.5865579929668456,8,2.271761304910135
10,(4÷4) + 7 = ?,False,1,0.9542856579646468,12,False,0.7367796679027379,9,2.271761304910135
11,(8x2) - 8 = ? ,False,1,0.8365045639220625,2,False,0.8366845911368728,10,2.271761304910135
12,(2x9) - 9 = ?,True,1,0.936659466009587,9,True,0.7200709730386734,11,2.271761304910135
13,(8÷2) + 9 = ?,True,0,0.753238394157961,7,False,0.521093619056046,12,2.271761304910135
14,(3x8) - 1 = ?,False,0,1.2366447490639985,23,True,0.8366221850737929,13,2.271761304910135
15,(6÷3) + 1 = ?,False,0,1.5043732640333474,3,True,0.9202744320500642,14,2.271761304910135
